"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.057738,1,0.181,0.181,0.15,0
-0.057738,1,0.18133,0.18133,0.15,0
-0.057738,1,0.18167,0.18167,0.15,0
-0.057738,1,0.182,0.182,0.15,0
-0.057738,1,0.18233,0.18233,0.15,0
-0.057738,1,0.18267,0.18267,0.15,0
-0.057738,1,0.183,0.183,0.15,0
-0.078651,1,0.18333,0.18333,0.15,0
-0.080058,1,0.18367,0.18367,0.15,0
-0.080058,1,0.184,0.184,0.15,0
-0.080058,1,0.18433,0.18433,0.15,0
-0.080058,1,0.18467,0.18467,0.15,0
-0.080058,1,0.185,0.185,0.15,0
-0.080058,1,0.18533,0.18533,0.15,0
-0.080058,1,0.18567,0.18567,0.15,0
-0.080058,1,0.186,0.186,0.15,0
-0.080058,1,0.18633,0.18633,0.15,0
-0.080058,1,0.18667,0.18667,0.15,0
-0.080058,1,0.187,0.187,0.15,0
-0.080058,1,0.18733,0.18733,0.15,0
-0.080058,1,0.18767,0.18767,0.15,0
-0.080058,1,0.188,0.188,0.15,0
-0.080058,1,0.18833,0.18833,0.15,0
-0.080058,1,0.18867,0.18867,0.15,0
-0.080058,1,0.189,0.189,0.15,0
-0.080058,1,0.18933,0.18933,0.15,0
-0.080058,1,0.18967,0.18967,0.15,0
-0.080058,1,0.19,0.19,0.15,0
-0.080058,1,0.19033,0.19033,0.15,0
-0.080058,1,0.19067,0.19067,0.15,0
-0.080058,1,0.191,0.191,0.15,0
-0.080058,1,0.19133,0.19133,0.15,0
-0.080058,1,0.19167,0.19167,0.15,0
-0.080058,1,0.192,0.192,0.15,0
-0.080058,1,0.19233,0.19233,0.15,0
-0.080058,1,0.19267,0.19267,0.15,0
-0.080058,1,0.193,0.193,0.15,0
-0.080058,1,0.19333,0.19333,0.15,0
-0.080058,1,0.19367,0.19367,0.15,0
-0.080058,1,0.194,0.194,0.15,0
-0.080058,1,0.19433,0.19433,0.15,0
-0.080058,1,0.19467,0.19467,0.15,0
-0.080058,1,0.195,0.195,0.15,0
-0.080058,1,0.19533,0.19533,0.15,0
-0.080058,1,0.19567,0.19567,0.15,0
-0.080058,1,0.196,0.196,0.15,0
-0.080058,1,0.19633,0.19633,0.15,0
-0.080058,1,0.19667,0.19667,0.15,0
-0.080058,1,0.197,0.197,0.15,0
-0.080058,1,0.19733,0.19733,0.15,0
-0.080058,1,0.19767,0.19767,0.15,0
-0.080058,1,0.198,0.198,0.15,0
